,year,model,scenario,pr
0,2000,5ModelAvg,rcp45,23.675
1,2010,5ModelAvg,rcp45,23.53333333333333
2,2020,5ModelAvg,rcp45,24.374999999999996
3,2030,5ModelAvg,rcp45,24.524999999999995
4,2040,5ModelAvg,rcp45,25.33333333333334
5,2050,5ModelAvg,rcp45,25.799999999999997
6,2060,5ModelAvg,rcp45,26.100000000000005
7,2070,5ModelAvg,rcp45,26.616666666666664
8,2080,5ModelAvg,rcp45,26.49166666666667
9,2090,5ModelAvg,rcp45,26.441666666666666
10,2100,5ModelAvg,rcp45,25.558333333333326
11,2000,5ModelAvg,rcp60,23.808333333333334
12,2010,5ModelAvg,rcp60,23.599999999999998
13,2020,5ModelAvg,rcp60,24.316666666666663
14,2030,5ModelAvg,rcp60,24.725000000000005
15,2040,5ModelAvg,rcp60,24.45833333333333
16,2050,5ModelAvg,rcp60,25.124999999999996
17,2060,5ModelAvg,rcp60,25.48333333333333
18,2070,5ModelAvg,rcp60,25.883333333333336
19,2080,5ModelAvg,rcp60,26.90833333333333
20,2090,5ModelAvg,rcp60,27.566666666666666
21,2100,5ModelAvg,rcp60,26.108333333333334
22,2000,5ModelAvg,rcp85,23.283333333333335
23,2010,5ModelAvg,rcp85,24.191666666666663
24,2020,5ModelAvg,rcp85,24.74166666666666
25,2030,5ModelAvg,rcp85,25.849999999999994
26,2040,5ModelAvg,rcp85,25.7
27,2050,5ModelAvg,rcp85,26.191666666666666
28,2060,5ModelAvg,rcp85,27.624999999999996
29,2070,5ModelAvg,rcp85,28.24166666666667
30,2080,5ModelAvg,rcp85,29.25
31,2090,5ModelAvg,rcp85,29.54166666666667
32,2100,5ModelAvg,rcp85,30.991666666666664
33,2000,GFDL-CM3,rcp45,24.025000000000002
34,2010,GFDL-CM3,rcp45,24.883333333333336
35,2020,GFDL-CM3,rcp45,26.51666666666667
36,2030,GFDL-CM3,rcp45,26.61666666666667
37,2040,GFDL-CM3,rcp45,28.291666666666668
38,2050,GFDL-CM3,rcp45,29.25
39,2060,GFDL-CM3,rcp45,29.983333333333334
40,2070,GFDL-CM3,rcp45,29.98333333333333
41,2080,GFDL-CM3,rcp45,30.274999999999995
42,2090,GFDL-CM3,rcp45,30.108333333333334
43,2100,GFDL-CM3,rcp45,29.741666666666664
44,2110,GFDL-CM3,rcp45,29.416666666666668
45,2120,GFDL-CM3,rcp45,30.683333333333337
46,2130,GFDL-CM3,rcp45,30.208333333333332
47,2140,GFDL-CM3,rcp45,29.75833333333333
48,2150,GFDL-CM3,rcp45,30.04166666666667
49,2160,GFDL-CM3,rcp45,29.208333333333332
50,2170,GFDL-CM3,rcp45,29.308333333333326
51,2180,GFDL-CM3,rcp45,29.71666666666667
52,2190,GFDL-CM3,rcp45,29.241666666666664
53,2200,GFDL-CM3,rcp45,29.883333333333336
54,2210,GFDL-CM3,rcp45,30.033333333333335
55,2220,GFDL-CM3,rcp45,29.23333333333333
56,2230,GFDL-CM3,rcp45,30.700000000000003
57,2240,GFDL-CM3,rcp45,30.21666666666667
58,2250,GFDL-CM3,rcp45,29.425000000000008
59,2260,GFDL-CM3,rcp45,30.233333333333334
60,2270,GFDL-CM3,rcp45,30.724999999999998
61,2280,GFDL-CM3,rcp45,29.724999999999998
62,2290,GFDL-CM3,rcp45,31.13333333333334
63,2300,GFDL-CM3,rcp45,31.566666666666663
64,2000,GFDL-CM3,rcp60,22.458333333333332
65,2010,GFDL-CM3,rcp60,25.40833333333333
66,2020,GFDL-CM3,rcp60,25.983333333333334
67,2030,GFDL-CM3,rcp60,26.71666666666667
68,2040,GFDL-CM3,rcp60,26.950000000000003
69,2050,GFDL-CM3,rcp60,28.541666666666668
70,2060,GFDL-CM3,rcp60,28.566666666666663
71,2070,GFDL-CM3,rcp60,30.616666666666664
72,2080,GFDL-CM3,rcp60,30.124999999999996
73,2090,GFDL-CM3,rcp60,29.650000000000002
74,2100,GFDL-CM3,rcp60,30.808333333333334
75,2000,GFDL-CM3,rcp85,24.150000000000002
76,2010,GFDL-CM3,rcp85,25.28333333333333
77,2020,GFDL-CM3,rcp85,26.933333333333334
78,2030,GFDL-CM3,rcp85,27.88333333333333
79,2040,GFDL-CM3,rcp85,27.591666666666665
80,2050,GFDL-CM3,rcp85,29.35833333333333
81,2060,GFDL-CM3,rcp85,30.691666666666666
82,2070,GFDL-CM3,rcp85,32.7
83,2080,GFDL-CM3,rcp85,33.84166666666667
84,2090,GFDL-CM3,rcp85,33.775
85,2100,GFDL-CM3,rcp85,33.708333333333336
86,2000,GISS-E2-R,rcp45,22.583333333333332
87,2010,GISS-E2-R,rcp45,23.683333333333326
88,2020,GISS-E2-R,rcp45,23.375
89,2030,GISS-E2-R,rcp45,23.91666666666667
90,2040,GISS-E2-R,rcp45,23.349999999999998
91,2050,GISS-E2-R,rcp45,24.75
92,2060,GISS-E2-R,rcp45,25.224999999999998
93,2070,GISS-E2-R,rcp45,26.34166666666667
94,2080,GISS-E2-R,rcp45,24.808333333333334
95,2090,GISS-E2-R,rcp45,24.891666666666666
96,2100,GISS-E2-R,rcp45,25.716666666666665
97,2110,GISS-E2-R,rcp45,25.683333333333334
98,2120,GISS-E2-R,rcp45,25.40833333333333
99,2130,GISS-E2-R,rcp45,25.474999999999998
100,2140,GISS-E2-R,rcp45,26.333333333333332
101,2150,GISS-E2-R,rcp45,25.658333333333335
102,2160,GISS-E2-R,rcp45,26.3
103,2170,GISS-E2-R,rcp45,23.150000000000002
104,2180,GISS-E2-R,rcp45,25.383333333333336
105,2190,GISS-E2-R,rcp45,25.791666666666668
106,2200,GISS-E2-R,rcp45,26.308333333333337
107,2210,GISS-E2-R,rcp45,25.566666666666666
108,2220,GISS-E2-R,rcp45,26.2
109,2230,GISS-E2-R,rcp45,26.416666666666668
110,2240,GISS-E2-R,rcp45,25.441666666666666
111,2250,GISS-E2-R,rcp45,25.474999999999998
112,2260,GISS-E2-R,rcp45,25.583333333333332
113,2270,GISS-E2-R,rcp45,26.308333333333337
114,2280,GISS-E2-R,rcp45,25.78333333333333
115,2290,GISS-E2-R,rcp45,26.15833333333333
116,2300,GISS-E2-R,rcp45,27.575000000000003
117,2000,GISS-E2-R,rcp60,24.724999999999998
118,2010,GISS-E2-R,rcp60,22.908333333333335
119,2020,GISS-E2-R,rcp60,24.208333333333332
120,2030,GISS-E2-R,rcp60,23.791666666666668
121,2040,GISS-E2-R,rcp60,24.033333333333335
122,2050,GISS-E2-R,rcp60,24.266666666666666
123,2060,GISS-E2-R,rcp60,22.383333333333336
124,2070,GISS-E2-R,rcp60,25.066666666666666
125,2080,GISS-E2-R,rcp60,26.674999999999997
126,2090,GISS-E2-R,rcp60,27.166666666666668
127,2100,GISS-E2-R,rcp60,23.96666666666667
128,2000,GISS-E2-R,rcp85,23.116666666666664
129,2010,GISS-E2-R,rcp85,23.858333333333334
130,2020,GISS-E2-R,rcp85,23.174999999999997
131,2030,GISS-E2-R,rcp85,24.941666666666666
132,2040,GISS-E2-R,rcp85,24.0
133,2050,GISS-E2-R,rcp85,24.941666666666666
134,2060,GISS-E2-R,rcp85,26.841666666666665
135,2070,GISS-E2-R,rcp85,26.299999999999997
136,2080,GISS-E2-R,rcp85,27.28333333333333
137,2090,GISS-E2-R,rcp85,27.841666666666665
138,2100,GISS-E2-R,rcp85,28.35833333333333
