,year,minesite,pr,group,model,scenario
0,2000,CanTung_Mine,48.67,annual_decadals,GFDL-CM3,rcp60
1,2010,CanTung_Mine,54.0,annual_decadals,GFDL-CM3,rcp60
2,2020,CanTung_Mine,54.17,annual_decadals,GFDL-CM3,rcp60
3,2030,CanTung_Mine,59.33,annual_decadals,GFDL-CM3,rcp60
4,2040,CanTung_Mine,61.17,annual_decadals,GFDL-CM3,rcp60
5,2050,CanTung_Mine,64.58,annual_decadals,GFDL-CM3,rcp60
6,2060,CanTung_Mine,63.83,annual_decadals,GFDL-CM3,rcp60
7,2070,CanTung_Mine,67.0,annual_decadals,GFDL-CM3,rcp60
8,2080,CanTung_Mine,68.08,annual_decadals,GFDL-CM3,rcp60
9,2090,CanTung_Mine,68.67,annual_decadals,GFDL-CM3,rcp60
10,2100,CanTung_Mine,64.92,annual_decadals,GFDL-CM3,rcp60
11,2000,Diavik_Mine,22.25,annual_decadals,GFDL-CM3,rcp60
12,2010,Diavik_Mine,25.0,annual_decadals,GFDL-CM3,rcp60
13,2020,Diavik_Mine,25.58,annual_decadals,GFDL-CM3,rcp60
14,2030,Diavik_Mine,26.42,annual_decadals,GFDL-CM3,rcp60
15,2040,Diavik_Mine,25.25,annual_decadals,GFDL-CM3,rcp60
16,2050,Diavik_Mine,26.83,annual_decadals,GFDL-CM3,rcp60
17,2060,Diavik_Mine,28.58,annual_decadals,GFDL-CM3,rcp60
18,2070,Diavik_Mine,28.67,annual_decadals,GFDL-CM3,rcp60
19,2080,Diavik_Mine,29.17,annual_decadals,GFDL-CM3,rcp60
20,2090,Diavik_Mine,27.25,annual_decadals,GFDL-CM3,rcp60
21,2100,Diavik_Mine,28.67,annual_decadals,GFDL-CM3,rcp60
22,2000,Ekati_Mine,21.83,annual_decadals,GFDL-CM3,rcp60
23,2010,Ekati_Mine,24.83,annual_decadals,GFDL-CM3,rcp60
24,2020,Ekati_Mine,25.42,annual_decadals,GFDL-CM3,rcp60
25,2030,Ekati_Mine,26.25,annual_decadals,GFDL-CM3,rcp60
26,2040,Ekati_Mine,25.25,annual_decadals,GFDL-CM3,rcp60
27,2050,Ekati_Mine,26.75,annual_decadals,GFDL-CM3,rcp60
28,2060,Ekati_Mine,28.67,annual_decadals,GFDL-CM3,rcp60
29,2070,Ekati_Mine,28.5,annual_decadals,GFDL-CM3,rcp60
30,2080,Ekati_Mine,28.92,annual_decadals,GFDL-CM3,rcp60
31,2090,Ekati_Mine,27.0,annual_decadals,GFDL-CM3,rcp60
32,2100,Ekati_Mine,28.42,annual_decadals,GFDL-CM3,rcp60
33,2000,Gahcho_Kue_Mine,23.58,annual_decadals,GFDL-CM3,rcp60
34,2010,Gahcho_Kue_Mine,25.33,annual_decadals,GFDL-CM3,rcp60
35,2020,Gahcho_Kue_Mine,25.83,annual_decadals,GFDL-CM3,rcp60
36,2030,Gahcho_Kue_Mine,26.58,annual_decadals,GFDL-CM3,rcp60
37,2040,Gahcho_Kue_Mine,25.5,annual_decadals,GFDL-CM3,rcp60
38,2050,Gahcho_Kue_Mine,27.33,annual_decadals,GFDL-CM3,rcp60
39,2060,Gahcho_Kue_Mine,29.0,annual_decadals,GFDL-CM3,rcp60
40,2070,Gahcho_Kue_Mine,28.92,annual_decadals,GFDL-CM3,rcp60
41,2080,Gahcho_Kue_Mine,29.5,annual_decadals,GFDL-CM3,rcp60
42,2090,Gahcho_Kue_Mine,27.08,annual_decadals,GFDL-CM3,rcp60
43,2100,Gahcho_Kue_Mine,30.58,annual_decadals,GFDL-CM3,rcp60
44,2000,NICO_Mine,22.33,annual_decadals,GFDL-CM3,rcp60
45,2010,NICO_Mine,25.33,annual_decadals,GFDL-CM3,rcp60
46,2020,NICO_Mine,25.58,annual_decadals,GFDL-CM3,rcp60
47,2030,NICO_Mine,26.25,annual_decadals,GFDL-CM3,rcp60
48,2040,NICO_Mine,25.92,annual_decadals,GFDL-CM3,rcp60
49,2050,NICO_Mine,28.67,annual_decadals,GFDL-CM3,rcp60
50,2060,NICO_Mine,28.33,annual_decadals,GFDL-CM3,rcp60
51,2070,NICO_Mine,28.75,annual_decadals,GFDL-CM3,rcp60
52,2080,NICO_Mine,29.33,annual_decadals,GFDL-CM3,rcp60
53,2090,NICO_Mine,27.67,annual_decadals,GFDL-CM3,rcp60
54,2100,NICO_Mine,30.42,annual_decadals,GFDL-CM3,rcp60
55,2000,Pine_Point_Mine_(Tamerlane),29.33,annual_decadals,GFDL-CM3,rcp60
56,2010,Pine_Point_Mine_(Tamerlane),30.92,annual_decadals,GFDL-CM3,rcp60
57,2020,Pine_Point_Mine_(Tamerlane),30.42,annual_decadals,GFDL-CM3,rcp60
58,2030,Pine_Point_Mine_(Tamerlane),32.08,annual_decadals,GFDL-CM3,rcp60
59,2040,Pine_Point_Mine_(Tamerlane),32.25,annual_decadals,GFDL-CM3,rcp60
60,2050,Pine_Point_Mine_(Tamerlane),34.42,annual_decadals,GFDL-CM3,rcp60
61,2060,Pine_Point_Mine_(Tamerlane),35.33,annual_decadals,GFDL-CM3,rcp60
62,2070,Pine_Point_Mine_(Tamerlane),36.92,annual_decadals,GFDL-CM3,rcp60
63,2080,Pine_Point_Mine_(Tamerlane),34.42,annual_decadals,GFDL-CM3,rcp60
64,2090,Pine_Point_Mine_(Tamerlane),36.17,annual_decadals,GFDL-CM3,rcp60
65,2100,Pine_Point_Mine_(Tamerlane),38.25,annual_decadals,GFDL-CM3,rcp60
66,2000,Prairie_Creek_Mine,42.25,annual_decadals,GFDL-CM3,rcp60
67,2010,Prairie_Creek_Mine,46.0,annual_decadals,GFDL-CM3,rcp60
68,2020,Prairie_Creek_Mine,43.25,annual_decadals,GFDL-CM3,rcp60
69,2030,Prairie_Creek_Mine,47.25,annual_decadals,GFDL-CM3,rcp60
70,2040,Prairie_Creek_Mine,50.17,annual_decadals,GFDL-CM3,rcp60
71,2050,Prairie_Creek_Mine,53.5,annual_decadals,GFDL-CM3,rcp60
72,2060,Prairie_Creek_Mine,51.67,annual_decadals,GFDL-CM3,rcp60
73,2070,Prairie_Creek_Mine,52.83,annual_decadals,GFDL-CM3,rcp60
74,2080,Prairie_Creek_Mine,52.0,annual_decadals,GFDL-CM3,rcp60
75,2090,Prairie_Creek_Mine,53.5,annual_decadals,GFDL-CM3,rcp60
76,2100,Prairie_Creek_Mine,51.33,annual_decadals,GFDL-CM3,rcp60
77,2000,Snap_Lake_Mine,24.33,annual_decadals,GFDL-CM3,rcp60
78,2010,Snap_Lake_Mine,26.42,annual_decadals,GFDL-CM3,rcp60
79,2020,Snap_Lake_Mine,26.92,annual_decadals,GFDL-CM3,rcp60
80,2030,Snap_Lake_Mine,27.67,annual_decadals,GFDL-CM3,rcp60
81,2040,Snap_Lake_Mine,26.25,annual_decadals,GFDL-CM3,rcp60
82,2050,Snap_Lake_Mine,28.75,annual_decadals,GFDL-CM3,rcp60
83,2060,Snap_Lake_Mine,30.33,annual_decadals,GFDL-CM3,rcp60
84,2070,Snap_Lake_Mine,30.25,annual_decadals,GFDL-CM3,rcp60
85,2080,Snap_Lake_Mine,30.83,annual_decadals,GFDL-CM3,rcp60
86,2090,Snap_Lake_Mine,28.83,annual_decadals,GFDL-CM3,rcp60
87,2100,Snap_Lake_Mine,32.0,annual_decadals,GFDL-CM3,rcp60
0,2000,CanTung_Mine,49.33,annual_decadals,GFDL-CM3,rcp85
1,2010,CanTung_Mine,53.83,annual_decadals,GFDL-CM3,rcp85
2,2020,CanTung_Mine,58.5,annual_decadals,GFDL-CM3,rcp85
3,2030,CanTung_Mine,60.75,annual_decadals,GFDL-CM3,rcp85
4,2040,CanTung_Mine,61.08,annual_decadals,GFDL-CM3,rcp85
5,2050,CanTung_Mine,66.67,annual_decadals,GFDL-CM3,rcp85
6,2060,CanTung_Mine,67.17,annual_decadals,GFDL-CM3,rcp85
7,2070,CanTung_Mine,71.75,annual_decadals,GFDL-CM3,rcp85
8,2080,CanTung_Mine,73.0,annual_decadals,GFDL-CM3,rcp85
9,2090,CanTung_Mine,75.0,annual_decadals,GFDL-CM3,rcp85
10,2100,CanTung_Mine,70.75,annual_decadals,GFDL-CM3,rcp85
11,2000,Diavik_Mine,25.08,annual_decadals,GFDL-CM3,rcp85
12,2010,Diavik_Mine,24.83,annual_decadals,GFDL-CM3,rcp85
13,2020,Diavik_Mine,25.5,annual_decadals,GFDL-CM3,rcp85
14,2030,Diavik_Mine,26.5,annual_decadals,GFDL-CM3,rcp85
15,2040,Diavik_Mine,25.67,annual_decadals,GFDL-CM3,rcp85
16,2050,Diavik_Mine,26.67,annual_decadals,GFDL-CM3,rcp85
17,2060,Diavik_Mine,28.58,annual_decadals,GFDL-CM3,rcp85
18,2070,Diavik_Mine,31.58,annual_decadals,GFDL-CM3,rcp85
19,2080,Diavik_Mine,31.25,annual_decadals,GFDL-CM3,rcp85
20,2090,Diavik_Mine,32.5,annual_decadals,GFDL-CM3,rcp85
21,2100,Diavik_Mine,33.08,annual_decadals,GFDL-CM3,rcp85
22,2000,Ekati_Mine,25.0,annual_decadals,GFDL-CM3,rcp85
23,2010,Ekati_Mine,24.5,annual_decadals,GFDL-CM3,rcp85
24,2020,Ekati_Mine,25.33,annual_decadals,GFDL-CM3,rcp85
25,2030,Ekati_Mine,26.33,annual_decadals,GFDL-CM3,rcp85
26,2040,Ekati_Mine,25.67,annual_decadals,GFDL-CM3,rcp85
27,2050,Ekati_Mine,26.5,annual_decadals,GFDL-CM3,rcp85
28,2060,Ekati_Mine,28.42,annual_decadals,GFDL-CM3,rcp85
29,2070,Ekati_Mine,31.33,annual_decadals,GFDL-CM3,rcp85
30,2080,Ekati_Mine,30.92,annual_decadals,GFDL-CM3,rcp85
31,2090,Ekati_Mine,32.25,annual_decadals,GFDL-CM3,rcp85
32,2100,Ekati_Mine,33.0,annual_decadals,GFDL-CM3,rcp85
33,2000,Gahcho_Kue_Mine,25.58,annual_decadals,GFDL-CM3,rcp85
34,2010,Gahcho_Kue_Mine,25.25,annual_decadals,GFDL-CM3,rcp85
35,2020,Gahcho_Kue_Mine,25.92,annual_decadals,GFDL-CM3,rcp85
36,2030,Gahcho_Kue_Mine,27.0,annual_decadals,GFDL-CM3,rcp85
37,2040,Gahcho_Kue_Mine,26.17,annual_decadals,GFDL-CM3,rcp85
38,2050,Gahcho_Kue_Mine,27.0,annual_decadals,GFDL-CM3,rcp85
39,2060,Gahcho_Kue_Mine,28.67,annual_decadals,GFDL-CM3,rcp85
40,2070,Gahcho_Kue_Mine,31.58,annual_decadals,GFDL-CM3,rcp85
41,2080,Gahcho_Kue_Mine,31.25,annual_decadals,GFDL-CM3,rcp85
42,2090,Gahcho_Kue_Mine,32.67,annual_decadals,GFDL-CM3,rcp85
43,2100,Gahcho_Kue_Mine,33.5,annual_decadals,GFDL-CM3,rcp85
44,2000,NICO_Mine,23.0,annual_decadals,GFDL-CM3,rcp85
45,2010,NICO_Mine,25.0,annual_decadals,GFDL-CM3,rcp85
46,2020,NICO_Mine,26.75,annual_decadals,GFDL-CM3,rcp85
47,2030,NICO_Mine,27.08,annual_decadals,GFDL-CM3,rcp85
48,2040,NICO_Mine,26.67,annual_decadals,GFDL-CM3,rcp85
49,2050,NICO_Mine,27.92,annual_decadals,GFDL-CM3,rcp85
50,2060,NICO_Mine,28.58,annual_decadals,GFDL-CM3,rcp85
51,2070,NICO_Mine,31.33,annual_decadals,GFDL-CM3,rcp85
52,2080,NICO_Mine,32.25,annual_decadals,GFDL-CM3,rcp85
53,2090,NICO_Mine,32.25,annual_decadals,GFDL-CM3,rcp85
54,2100,NICO_Mine,33.17,annual_decadals,GFDL-CM3,rcp85
55,2000,Pine_Point_Mine_(Tamerlane),29.58,annual_decadals,GFDL-CM3,rcp85
56,2010,Pine_Point_Mine_(Tamerlane),31.17,annual_decadals,GFDL-CM3,rcp85
57,2020,Pine_Point_Mine_(Tamerlane),32.08,annual_decadals,GFDL-CM3,rcp85
58,2030,Pine_Point_Mine_(Tamerlane),33.42,annual_decadals,GFDL-CM3,rcp85
59,2040,Pine_Point_Mine_(Tamerlane),31.42,annual_decadals,GFDL-CM3,rcp85
60,2050,Pine_Point_Mine_(Tamerlane),36.25,annual_decadals,GFDL-CM3,rcp85
61,2060,Pine_Point_Mine_(Tamerlane),38.17,annual_decadals,GFDL-CM3,rcp85
62,2070,Pine_Point_Mine_(Tamerlane),38.83,annual_decadals,GFDL-CM3,rcp85
63,2080,Pine_Point_Mine_(Tamerlane),41.92,annual_decadals,GFDL-CM3,rcp85
64,2090,Pine_Point_Mine_(Tamerlane),40.92,annual_decadals,GFDL-CM3,rcp85
65,2100,Pine_Point_Mine_(Tamerlane),45.5,annual_decadals,GFDL-CM3,rcp85
66,2000,Prairie_Creek_Mine,40.83,annual_decadals,GFDL-CM3,rcp85
67,2010,Prairie_Creek_Mine,45.42,annual_decadals,GFDL-CM3,rcp85
68,2020,Prairie_Creek_Mine,47.17,annual_decadals,GFDL-CM3,rcp85
69,2030,Prairie_Creek_Mine,49.75,annual_decadals,GFDL-CM3,rcp85
70,2040,Prairie_Creek_Mine,49.42,annual_decadals,GFDL-CM3,rcp85
71,2050,Prairie_Creek_Mine,54.17,annual_decadals,GFDL-CM3,rcp85
72,2060,Prairie_Creek_Mine,52.83,annual_decadals,GFDL-CM3,rcp85
73,2070,Prairie_Creek_Mine,56.25,annual_decadals,GFDL-CM3,rcp85
74,2080,Prairie_Creek_Mine,57.42,annual_decadals,GFDL-CM3,rcp85
75,2090,Prairie_Creek_Mine,56.75,annual_decadals,GFDL-CM3,rcp85
76,2100,Prairie_Creek_Mine,59.5,annual_decadals,GFDL-CM3,rcp85
77,2000,Snap_Lake_Mine,26.75,annual_decadals,GFDL-CM3,rcp85
78,2010,Snap_Lake_Mine,26.25,annual_decadals,GFDL-CM3,rcp85
79,2020,Snap_Lake_Mine,27.0,annual_decadals,GFDL-CM3,rcp85
80,2030,Snap_Lake_Mine,28.42,annual_decadals,GFDL-CM3,rcp85
81,2040,Snap_Lake_Mine,27.17,annual_decadals,GFDL-CM3,rcp85
82,2050,Snap_Lake_Mine,28.42,annual_decadals,GFDL-CM3,rcp85
83,2060,Snap_Lake_Mine,29.92,annual_decadals,GFDL-CM3,rcp85
84,2070,Snap_Lake_Mine,33.33,annual_decadals,GFDL-CM3,rcp85
85,2080,Snap_Lake_Mine,33.75,annual_decadals,GFDL-CM3,rcp85
86,2090,Snap_Lake_Mine,35.08,annual_decadals,GFDL-CM3,rcp85
87,2100,Snap_Lake_Mine,35.0,annual_decadals,GFDL-CM3,rcp85
0,2000,CanTung_Mine,49.33,annual_decadals,GFDL-CM3,rcp85
1,2010,CanTung_Mine,53.83,annual_decadals,GFDL-CM3,rcp85
2,2020,CanTung_Mine,58.5,annual_decadals,GFDL-CM3,rcp85
3,2030,CanTung_Mine,60.75,annual_decadals,GFDL-CM3,rcp85
4,2040,CanTung_Mine,61.08,annual_decadals,GFDL-CM3,rcp85
5,2050,CanTung_Mine,66.67,annual_decadals,GFDL-CM3,rcp85
6,2060,CanTung_Mine,67.17,annual_decadals,GFDL-CM3,rcp85
7,2070,CanTung_Mine,71.75,annual_decadals,GFDL-CM3,rcp85
8,2080,CanTung_Mine,73.0,annual_decadals,GFDL-CM3,rcp85
9,2090,CanTung_Mine,75.0,annual_decadals,GFDL-CM3,rcp85
10,2100,CanTung_Mine,70.75,annual_decadals,GFDL-CM3,rcp85
11,2000,Diavik_Mine,25.08,annual_decadals,GFDL-CM3,rcp85
12,2010,Diavik_Mine,24.83,annual_decadals,GFDL-CM3,rcp85
13,2020,Diavik_Mine,25.5,annual_decadals,GFDL-CM3,rcp85
14,2030,Diavik_Mine,26.5,annual_decadals,GFDL-CM3,rcp85
15,2040,Diavik_Mine,25.67,annual_decadals,GFDL-CM3,rcp85
16,2050,Diavik_Mine,26.67,annual_decadals,GFDL-CM3,rcp85
17,2060,Diavik_Mine,28.58,annual_decadals,GFDL-CM3,rcp85
18,2070,Diavik_Mine,31.58,annual_decadals,GFDL-CM3,rcp85
19,2080,Diavik_Mine,31.25,annual_decadals,GFDL-CM3,rcp85
20,2090,Diavik_Mine,32.5,annual_decadals,GFDL-CM3,rcp85
21,2100,Diavik_Mine,33.08,annual_decadals,GFDL-CM3,rcp85
22,2000,Ekati_Mine,25.0,annual_decadals,GFDL-CM3,rcp85
23,2010,Ekati_Mine,24.5,annual_decadals,GFDL-CM3,rcp85
24,2020,Ekati_Mine,25.33,annual_decadals,GFDL-CM3,rcp85
25,2030,Ekati_Mine,26.33,annual_decadals,GFDL-CM3,rcp85
26,2040,Ekati_Mine,25.67,annual_decadals,GFDL-CM3,rcp85
27,2050,Ekati_Mine,26.5,annual_decadals,GFDL-CM3,rcp85
