,year,model,scenario,tas
0,2000,5ModelAvg,rcp45,-7.793745350321431
1,2010,5ModelAvg,rcp45,-7.581749129468247
2,2020,5ModelAvg,rcp45,-7.239834209213671
3,2030,5ModelAvg,rcp45,-6.565099791226893
4,2040,5ModelAvg,rcp45,-6.0238261774712045
5,2050,5ModelAvg,rcp45,-5.956669610121821
6,2060,5ModelAvg,rcp45,-5.354070530182462
7,2070,5ModelAvg,rcp45,-5.121821754339883
8,2080,5ModelAvg,rcp45,-5.015552363861672
9,2090,5ModelAvg,rcp45,-5.0834403527025405
10,2100,5ModelAvg,rcp45,-4.2440439171333795
11,2000,5ModelAvg,rcp60,-7.847598631995357
12,2010,5ModelAvg,rcp60,-7.570497808664867
13,2020,5ModelAvg,rcp60,-6.983835367380446
14,2030,5ModelAvg,rcp60,-6.796036247757553
15,2040,5ModelAvg,rcp60,-6.367772076829849
16,2050,5ModelAvg,rcp60,-5.745339173592094
17,2060,5ModelAvg,rcp60,-5.519680200667029
18,2070,5ModelAvg,rcp60,-4.72363735384496
19,2080,5ModelAvg,rcp60,-4.316285632905505
20,2090,5ModelAvg,rcp60,-3.950477538579642
21,2100,5ModelAvg,rcp60,-3.612129016812188
22,2000,5ModelAvg,rcp85,-7.882872346581777
23,2010,5ModelAvg,rcp85,-7.402513900626062
24,2020,5ModelAvg,rcp85,-7.004804115250916
25,2030,5ModelAvg,rcp85,-6.452535030632536
26,2040,5ModelAvg,rcp85,-5.561132306117751
27,2050,5ModelAvg,rcp85,-4.545877455136761
28,2060,5ModelAvg,rcp85,-3.4849070761954493
29,2070,5ModelAvg,rcp85,-2.832810894186366
30,2080,5ModelAvg,rcp85,-1.9443199394114261
31,2090,5ModelAvg,rcp85,-1.2072192608146421
32,2100,5ModelAvg,rcp85,-0.617039349144543
33,2000,GFDL-CM3,rcp45,-7.006387328018227
34,2010,GFDL-CM3,rcp45,-7.285469869302864
35,2020,GFDL-CM3,rcp45,-5.7137158151124865
36,2030,GFDL-CM3,rcp45,-4.821181682225107
37,2040,GFDL-CM3,rcp45,-3.7538850317790136
38,2050,GFDL-CM3,rcp45,-3.32067360254347
39,2060,GFDL-CM3,rcp45,-2.817400523033433
40,2070,GFDL-CM3,rcp45,-2.4607300032188077
41,2080,GFDL-CM3,rcp45,-2.406081534735396
42,2090,GFDL-CM3,rcp45,-1.7843515544399786
43,2100,GFDL-CM3,rcp45,-1.734077888263202
44,2110,GFDL-CM3,rcp45,-1.4983268437167194
45,2120,GFDL-CM3,rcp45,-1.1676142845925699
46,2130,GFDL-CM3,rcp45,-1.2890941256762012
47,2140,GFDL-CM3,rcp45,-1.1826493449394657
48,2150,GFDL-CM3,rcp45,-0.8290374619668549
49,2160,GFDL-CM3,rcp45,-0.6448256420988819
50,2170,GFDL-CM3,rcp45,-0.03139202478322586
51,2180,GFDL-CM3,rcp45,-0.42909871208794154
52,2190,GFDL-CM3,rcp45,-0.5984401325841212
53,2200,GFDL-CM3,rcp45,0.017427177589765492
54,2210,GFDL-CM3,rcp45,0.32053323839842385
55,2220,GFDL-CM3,rcp45,-0.5615797352274562
56,2230,GFDL-CM3,rcp45,-0.18810859756396217
57,2240,GFDL-CM3,rcp45,0.040575327801410634
58,2250,GFDL-CM3,rcp45,-0.09678343705131409
59,2260,GFDL-CM3,rcp45,0.2707104613521148
60,2270,GFDL-CM3,rcp45,-0.11905956917344944
61,2280,GFDL-CM3,rcp45,0.4425120442832144
62,2290,GFDL-CM3,rcp45,0.642767468627578
63,2300,GFDL-CM3,rcp45,0.8388571093789615
64,2000,GFDL-CM3,rcp60,-6.859527035389212
65,2010,GFDL-CM3,rcp60,-6.999444025719563
66,2020,GFDL-CM3,rcp60,-5.869843760895267
67,2030,GFDL-CM3,rcp60,-5.190678189326641
68,2040,GFDL-CM3,rcp60,-5.208156990667611
69,2050,GFDL-CM3,rcp60,-4.314286917098318
70,2060,GFDL-CM3,rcp60,-3.116808831006798
71,2070,GFDL-CM3,rcp60,-1.9128062262303676
72,2080,GFDL-CM3,rcp60,-1.0508894975628291
73,2090,GFDL-CM3,rcp60,-0.5845734814128741
74,2100,GFDL-CM3,rcp60,-1.2860352317740034
75,2000,GFDL-CM3,rcp85,-6.433243965533122
76,2010,GFDL-CM3,rcp85,-6.09488792015117
77,2020,GFDL-CM3,rcp85,-5.706395971802259
78,2030,GFDL-CM3,rcp85,-4.751269137534707
79,2040,GFDL-CM3,rcp85,-3.3335402630654545
80,2050,GFDL-CM3,rcp85,-2.02584141477307
81,2060,GFDL-CM3,rcp85,-1.0481273538726925
82,2070,GFDL-CM3,rcp85,0.5480819450659705
83,2080,GFDL-CM3,rcp85,1.5252369039398082
84,2090,GFDL-CM3,rcp85,2.4032007225628966
85,2100,GFDL-CM3,rcp85,2.6855012386926957
86,2000,GISS-E2-R,rcp45,-8.179036195237423
87,2010,GISS-E2-R,rcp45,-7.555271527114155
88,2020,GISS-E2-R,rcp45,-7.17998579628745
89,2030,GISS-E2-R,rcp45,-7.1628014472478965
90,2040,GISS-E2-R,rcp45,-6.507522397447815
91,2050,GISS-E2-R,rcp45,-6.883220364282227
92,2060,GISS-E2-R,rcp45,-6.651279222465287
93,2070,GISS-E2-R,rcp45,-6.5531806543805695
94,2080,GISS-E2-R,rcp45,-6.630457352685109
95,2090,GISS-E2-R,rcp45,-6.989290667917444
96,2100,GISS-E2-R,rcp45,-6.372151211707102
97,2110,GISS-E2-R,rcp45,-5.998295929018529
98,2120,GISS-E2-R,rcp45,-6.378101832083547
99,2130,GISS-E2-R,rcp45,-5.902007814282861
100,2140,GISS-E2-R,rcp45,-5.8816576166625465
101,2150,GISS-E2-R,rcp45,-6.316571323803541
102,2160,GISS-E2-R,rcp45,-6.298967942834125
103,2170,GISS-E2-R,rcp45,-6.479809206311567
104,2180,GISS-E2-R,rcp45,-5.951584893485898
105,2190,GISS-E2-R,rcp45,-5.94737331046615
106,2200,GISS-E2-R,rcp45,-6.4164382480342965
107,2210,GISS-E2-R,rcp45,-6.499950256920276
108,2220,GISS-E2-R,rcp45,-6.0772767676380495
109,2230,GISS-E2-R,rcp45,-5.72435396767949
110,2240,GISS-E2-R,rcp45,-5.743167612128134
111,2250,GISS-E2-R,rcp45,-6.16838839850287
112,2260,GISS-E2-R,rcp45,-5.606680241672848
113,2270,GISS-E2-R,rcp45,-5.988366887719233
114,2280,GISS-E2-R,rcp45,-5.871051171176713
115,2290,GISS-E2-R,rcp45,-5.684626774120733
116,2300,GISS-E2-R,rcp45,-7.639705377645768
117,2000,GISS-E2-R,rcp60,-7.741155127119032
118,2010,GISS-E2-R,rcp60,-7.499999985142819
119,2020,GISS-E2-R,rcp60,-6.787949288578751
120,2030,GISS-E2-R,rcp60,-7.631675082516783
121,2040,GISS-E2-R,rcp60,-6.555032962265334
122,2050,GISS-E2-R,rcp60,-6.607361828465328
123,2060,GISS-E2-R,rcp60,-6.499501227413618
124,2070,GISS-E2-R,rcp60,-5.9600570634603685
125,2080,GISS-E2-R,rcp60,-5.816655309899499
126,2090,GISS-E2-R,rcp60,-5.587421996705072
127,2100,GISS-E2-R,rcp60,-5.632220268007696
128,2000,GISS-E2-R,rcp85,-8.80759163005362
129,2010,GISS-E2-R,rcp85,-7.5773519858306075
130,2020,GISS-E2-R,rcp85,-7.244272770957341
131,2030,GISS-E2-R,rcp85,-6.940757974245177
132,2040,GISS-E2-R,rcp85,-5.627416186185438
133,2050,GISS-E2-R,rcp85,-5.693028242485635
134,2060,GISS-E2-R,rcp85,-4.65550632690572
135,2070,GISS-E2-R,rcp85,-4.906643044244288
136,2080,GISS-E2-R,rcp85,-3.857990490265179
137,2090,GISS-E2-R,rcp85,-3.974925732976544
138,2100,GISS-E2-R,rcp85,-3.0622650052079377
139,2110,GISS-E2-R,rcp85,-2.86587729659826
140,2120,GISS-E2-R,rcp85,-2.5776520491940085
141,2130,GISS-E2-R,rcp85,-2.1030775690690535
142,2140,GISS-E2-R,rcp85,-1.4877815073635157
143,2150,GISS-E2-R,rcp85,-1.1455590162263192
144,2160,GISS-E2-R,rcp85,-1.4155045782155298
145,2170,GISS-E2-R,rcp85,-1.4168544264568572
146,2180,GISS-E2-R,rcp85,-0.7868426687934226
147,2190,GISS-E2-R,rcp85,-1.6611097064884675
148,2200,GISS-E2-R,rcp85,-1.1137309446750285
149,2210,GISS-E2-R,rcp85,-1.120242216867694
150,2220,GISS-E2-R,rcp85,-1.1571226919245687
151,2230,GISS-E2-R,rcp85,-1.044127322870708
152,2240,GISS-E2-R,rcp85,-1.048070743680152
153,2250,GISS-E2-R,rcp85,-0.6019092508162545
154,2260,GISS-E2-R,rcp85,0.10580545581434879
155,2270,GISS-E2-R,rcp85,0.026911253130902146
156,2280,GISS-E2-R,rcp85,-0.36197916790476453
157,2290,GISS-E2-R,rcp85,-0.8008715104691624
158,2300,GISS-E2-R,rcp85,-1.4517290811883523
159,2000,IPSL-CM5A-LR,rcp45,-8.493892878413385
160,2010,IPSL-CM5A-LR,rcp45,-7.757327572758586
161,2020,IPSL-CM5A-LR,rcp45,-7.747405379072057
162,2030,IPSL-CM5A-LR,rcp45,-6.4044964886538684
163,2040,IPSL-CM5A-LR,rcp45,-6.167250871447947
