,year,minesite,tas,group,model,scenario
0,2000,CanTung_Mine,-4.88,annual_decadals,GFDL-CM3,rcp85
1,2010,CanTung_Mine,-4.79,annual_decadals,GFDL-CM3,rcp85
2,2020,CanTung_Mine,-4.28,annual_decadals,GFDL-CM3,rcp85
3,2030,CanTung_Mine,-3.92,annual_decadals,GFDL-CM3,rcp85
4,2040,CanTung_Mine,-2.93,annual_decadals,GFDL-CM3,rcp85
5,2050,CanTung_Mine,-1.84,annual_decadals,GFDL-CM3,rcp85
6,2060,CanTung_Mine,-1.4,annual_decadals,GFDL-CM3,rcp85
7,2070,CanTung_Mine,-0.22,annual_decadals,GFDL-CM3,rcp85
8,2080,CanTung_Mine,0.34,annual_decadals,GFDL-CM3,rcp85
9,2090,CanTung_Mine,0.88,annual_decadals,GFDL-CM3,rcp85
10,2100,CanTung_Mine,1.31,annual_decadals,GFDL-CM3,rcp85
11,2000,Diavik_Mine,-7.41,annual_decadals,GFDL-CM3,rcp85
12,2010,Diavik_Mine,-7.18,annual_decadals,GFDL-CM3,rcp85
13,2020,Diavik_Mine,-6.78,annual_decadals,GFDL-CM3,rcp85
14,2030,Diavik_Mine,-5.89,annual_decadals,GFDL-CM3,rcp85
15,2040,Diavik_Mine,-4.69,annual_decadals,GFDL-CM3,rcp85
16,2050,Diavik_Mine,-3.45,annual_decadals,GFDL-CM3,rcp85
17,2060,Diavik_Mine,-2.77,annual_decadals,GFDL-CM3,rcp85
18,2070,Diavik_Mine,-1.1,annual_decadals,GFDL-CM3,rcp85
19,2080,Diavik_Mine,-0.13,annual_decadals,GFDL-CM3,rcp85
20,2090,Diavik_Mine,0.46,annual_decadals,GFDL-CM3,rcp85
21,2100,Diavik_Mine,0.25,annual_decadals,GFDL-CM3,rcp85
22,2000,Ekati_Mine,-7.61,annual_decadals,GFDL-CM3,rcp85
23,2010,Ekati_Mine,-7.38,annual_decadals,GFDL-CM3,rcp85
24,2020,Ekati_Mine,-6.94,annual_decadals,GFDL-CM3,rcp85
25,2030,Ekati_Mine,-6.07,annual_decadals,GFDL-CM3,rcp85
26,2040,Ekati_Mine,-4.86,annual_decadals,GFDL-CM3,rcp85
27,2050,Ekati_Mine,-3.58,annual_decadals,GFDL-CM3,rcp85
28,2060,Ekati_Mine,-2.91,annual_decadals,GFDL-CM3,rcp85
29,2070,Ekati_Mine,-1.24,annual_decadals,GFDL-CM3,rcp85
30,2080,Ekati_Mine,-0.24,annual_decadals,GFDL-CM3,rcp85
31,2090,Ekati_Mine,0.34,annual_decadals,GFDL-CM3,rcp85
32,2100,Ekati_Mine,0.14,annual_decadals,GFDL-CM3,rcp85
33,2000,Gahcho_Kue_Mine,-6.06,annual_decadals,GFDL-CM3,rcp85
34,2010,Gahcho_Kue_Mine,-5.83,annual_decadals,GFDL-CM3,rcp85
35,2020,Gahcho_Kue_Mine,-5.46,annual_decadals,GFDL-CM3,rcp85
36,2030,Gahcho_Kue_Mine,-4.62,annual_decadals,GFDL-CM3,rcp85
37,2040,Gahcho_Kue_Mine,-3.49,annual_decadals,GFDL-CM3,rcp85
38,2050,Gahcho_Kue_Mine,-2.23,annual_decadals,GFDL-CM3,rcp85
39,2060,Gahcho_Kue_Mine,-1.55,annual_decadals,GFDL-CM3,rcp85
40,2070,Gahcho_Kue_Mine,0.06,annual_decadals,GFDL-CM3,rcp85
41,2080,Gahcho_Kue_Mine,1.14,annual_decadals,GFDL-CM3,rcp85
42,2090,Gahcho_Kue_Mine,1.71,annual_decadals,GFDL-CM3,rcp85
43,2100,Gahcho_Kue_Mine,1.43,annual_decadals,GFDL-CM3,rcp85
44,2000,NICO_Mine,-3.37,annual_decadals,GFDL-CM3,rcp85
45,2010,NICO_Mine,-3.63,annual_decadals,GFDL-CM3,rcp85
46,2020,NICO_Mine,-3.51,annual_decadals,GFDL-CM3,rcp85
47,2030,NICO_Mine,-2.77,annual_decadals,GFDL-CM3,rcp85
48,2040,NICO_Mine,-1.74,annual_decadals,GFDL-CM3,rcp85
49,2050,NICO_Mine,-0.63,annual_decadals,GFDL-CM3,rcp85
50,2060,NICO_Mine,-0.02,annual_decadals,GFDL-CM3,rcp85
51,2070,NICO_Mine,1.48,annual_decadals,GFDL-CM3,rcp85
52,2080,NICO_Mine,2.13,annual_decadals,GFDL-CM3,rcp85
53,2090,NICO_Mine,2.97,annual_decadals,GFDL-CM3,rcp85
54,2100,NICO_Mine,2.7,annual_decadals,GFDL-CM3,rcp85
55,2000,Pine_Point_Mine_(Tamerlane),-0.9,annual_decadals,GFDL-CM3,rcp85
56,2010,Pine_Point_Mine_(Tamerlane),-1.51,annual_decadals,GFDL-CM3,rcp85
57,2020,Pine_Point_Mine_(Tamerlane),-1.25,annual_decadals,GFDL-CM3,rcp85
58,2030,Pine_Point_Mine_(Tamerlane),-0.76,annual_decadals,GFDL-CM3,rcp85
59,2040,Pine_Point_Mine_(Tamerlane),0.13,annual_decadals,GFDL-CM3,rcp85
60,2050,Pine_Point_Mine_(Tamerlane),1.17,annual_decadals,GFDL-CM3,rcp85
61,2060,Pine_Point_Mine_(Tamerlane),1.62,annual_decadals,GFDL-CM3,rcp85
62,2070,Pine_Point_Mine_(Tamerlane),3.22,annual_decadals,GFDL-CM3,rcp85
63,2080,Pine_Point_Mine_(Tamerlane),3.72,annual_decadals,GFDL-CM3,rcp85
64,2090,Pine_Point_Mine_(Tamerlane),4.69,annual_decadals,GFDL-CM3,rcp85
65,2100,Pine_Point_Mine_(Tamerlane),4.15,annual_decadals,GFDL-CM3,rcp85
66,2000,Prairie_Creek_Mine,-4.29,annual_decadals,GFDL-CM3,rcp85
67,2010,Prairie_Creek_Mine,-4.22,annual_decadals,GFDL-CM3,rcp85
68,2020,Prairie_Creek_Mine,-4.1,annual_decadals,GFDL-CM3,rcp85
69,2030,Prairie_Creek_Mine,-3.48,annual_decadals,GFDL-CM3,rcp85
70,2040,Prairie_Creek_Mine,-2.76,annual_decadals,GFDL-CM3,rcp85
71,2050,Prairie_Creek_Mine,-1.52,annual_decadals,GFDL-CM3,rcp85
72,2060,Prairie_Creek_Mine,-1.01,annual_decadals,GFDL-CM3,rcp85
73,2070,Prairie_Creek_Mine,0.38,annual_decadals,GFDL-CM3,rcp85
74,2080,Prairie_Creek_Mine,0.9,annual_decadals,GFDL-CM3,rcp85
75,2090,Prairie_Creek_Mine,1.65,annual_decadals,GFDL-CM3,rcp85
76,2100,Prairie_Creek_Mine,1.76,annual_decadals,GFDL-CM3,rcp85
77,2000,Snap_Lake_Mine,-5.9,annual_decadals,GFDL-CM3,rcp85
78,2010,Snap_Lake_Mine,-5.8,annual_decadals,GFDL-CM3,rcp85
79,2020,Snap_Lake_Mine,-5.42,annual_decadals,GFDL-CM3,rcp85
80,2030,Snap_Lake_Mine,-4.67,annual_decadals,GFDL-CM3,rcp85
81,2040,Snap_Lake_Mine,-3.53,annual_decadals,GFDL-CM3,rcp85
82,2050,Snap_Lake_Mine,-2.33,annual_decadals,GFDL-CM3,rcp85
83,2060,Snap_Lake_Mine,-1.67,annual_decadals,GFDL-CM3,rcp85
84,2070,Snap_Lake_Mine,-0.12,annual_decadals,GFDL-CM3,rcp85
85,2080,Snap_Lake_Mine,0.83,annual_decadals,GFDL-CM3,rcp85
86,2090,Snap_Lake_Mine,1.47,annual_decadals,GFDL-CM3,rcp85
87,2100,Snap_Lake_Mine,1.14,annual_decadals,GFDL-CM3,rcp85
0,2000,CanTung_Mine,-5.9,annual_decadals,GFDL-CM3,rcp60
1,2010,CanTung_Mine,-6.09,annual_decadals,GFDL-CM3,rcp60
2,2020,CanTung_Mine,-4.67,annual_decadals,GFDL-CM3,rcp60
3,2030,CanTung_Mine,-3.72,annual_decadals,GFDL-CM3,rcp60
4,2040,CanTung_Mine,-3.93,annual_decadals,GFDL-CM3,rcp60
5,2050,CanTung_Mine,-3.29,annual_decadals,GFDL-CM3,rcp60
6,2060,CanTung_Mine,-2.38,annual_decadals,GFDL-CM3,rcp60
7,2070,CanTung_Mine,-1.79,annual_decadals,GFDL-CM3,rcp60
8,2080,CanTung_Mine,-1.03,annual_decadals,GFDL-CM3,rcp60
9,2090,CanTung_Mine,-0.77,annual_decadals,GFDL-CM3,rcp60
10,2100,CanTung_Mine,-2.15,annual_decadals,GFDL-CM3,rcp60
11,2000,Diavik_Mine,-8.14,annual_decadals,GFDL-CM3,rcp60
12,2010,Diavik_Mine,-7.91,annual_decadals,GFDL-CM3,rcp60
13,2020,Diavik_Mine,-7.02,annual_decadals,GFDL-CM3,rcp60
14,2030,Diavik_Mine,-6.33,annual_decadals,GFDL-CM3,rcp60
15,2040,Diavik_Mine,-6.47,annual_decadals,GFDL-CM3,rcp60
16,2050,Diavik_Mine,-5.53,annual_decadals,GFDL-CM3,rcp60
17,2060,Diavik_Mine,-4.62,annual_decadals,GFDL-CM3,rcp60
18,2070,Diavik_Mine,-3.45,annual_decadals,GFDL-CM3,rcp60
19,2080,Diavik_Mine,-2.77,annual_decadals,GFDL-CM3,rcp60
20,2090,Diavik_Mine,-2.34,annual_decadals,GFDL-CM3,rcp60
21,2100,Diavik_Mine,-2.78,annual_decadals,GFDL-CM3,rcp60
22,2000,Ekati_Mine,-8.32,annual_decadals,GFDL-CM3,rcp60
23,2010,Ekati_Mine,-8.1,annual_decadals,GFDL-CM3,rcp60
24,2020,Ekati_Mine,-7.17,annual_decadals,GFDL-CM3,rcp60
25,2030,Ekati_Mine,-6.51,annual_decadals,GFDL-CM3,rcp60
26,2040,Ekati_Mine,-6.63,annual_decadals,GFDL-CM3,rcp60
27,2050,Ekati_Mine,-5.67,annual_decadals,GFDL-CM3,rcp60
28,2060,Ekati_Mine,-4.76,annual_decadals,GFDL-CM3,rcp60
29,2070,Ekati_Mine,-3.61,annual_decadals,GFDL-CM3,rcp60
30,2080,Ekati_Mine,-2.92,annual_decadals,GFDL-CM3,rcp60
31,2090,Ekati_Mine,-2.47,annual_decadals,GFDL-CM3,rcp60
32,2100,Ekati_Mine,-2.86,annual_decadals,GFDL-CM3,rcp60
33,2000,Gahcho_Kue_Mine,-6.92,annual_decadals,GFDL-CM3,rcp60
34,2010,Gahcho_Kue_Mine,-6.56,annual_decadals,GFDL-CM3,rcp60
35,2020,Gahcho_Kue_Mine,-5.72,annual_decadals,GFDL-CM3,rcp60
36,2030,Gahcho_Kue_Mine,-4.97,annual_decadals,GFDL-CM3,rcp60
37,2040,Gahcho_Kue_Mine,-5.16,annual_decadals,GFDL-CM3,rcp60
38,2050,Gahcho_Kue_Mine,-4.29,annual_decadals,GFDL-CM3,rcp60
39,2060,Gahcho_Kue_Mine,-3.37,annual_decadals,GFDL-CM3,rcp60
40,2070,Gahcho_Kue_Mine,-2.23,annual_decadals,GFDL-CM3,rcp60
41,2080,Gahcho_Kue_Mine,-1.54,annual_decadals,GFDL-CM3,rcp60
42,2090,Gahcho_Kue_Mine,-1.06,annual_decadals,GFDL-CM3,rcp60
43,2100,Gahcho_Kue_Mine,-1.92,annual_decadals,GFDL-CM3,rcp60
44,2000,NICO_Mine,-4.68,annual_decadals,GFDL-CM3,rcp60
45,2010,NICO_Mine,-4.7,annual_decadals,GFDL-CM3,rcp60
46,2020,NICO_Mine,-3.72,annual_decadals,GFDL-CM3,rcp60
47,2030,NICO_Mine,-2.93,annual_decadals,GFDL-CM3,rcp60
48,2040,NICO_Mine,-3.38,annual_decadals,GFDL-CM3,rcp60
