name,updated name,latitude,updated latitude,longitude,updated longitude,distance moved (km)
Aklavik,,68.22,68.22,-135.009,-135.0087,0.0
Behchoko (Edzo),Behchokǫ̀,62.784,62.8335,-116.035,-116.0514,5.6
Behchoko (Rae),Behchokǫ̀,62.834,62.8335,-116.051,-116.0514,0.1
CanTung Mine,,61.972,61.9717,-128.268,-128.2683,0.0
Colville Lake,,67.04,67.0399,-126.091,-126.0912,0.0
ConocoPhillips EL470 Base Camp,,65.053,65.0534,-127.036,-127.0355,0.1
Daring Lake Research Stn,Daring Lake Research Station,64.867,64.52,-111.567,-111.35,40.0
Deline,,65.19,65.1897,-123.424,-123.4244,0.0
Detah,Dettah,62.411,62.4112,-114.308,-114.3084,0.0
Diavik Mine,,64.511,64.5114,-110.29,-110.2897,0.0
Ekati Mine,,64.617,64.6172,-110.133,-110.1328,0.0
Enterprise,,60.555,60.5555,-116.147,-116.1472,0.1
Fort Good Hope,,66.257,66.257,-128.638,-128.6377,0.0
Fort Liard,,60.239,60.2392,-123.475,-123.4752,0.0
Fort McPherson,,67.235,67.4365,-134.882,-134.8833,22.5
Fort Providence,,61.355,61.3552,-117.654,-117.6542,0.0
Fort Resolution,,61.171,61.171,-113.672,-113.6721,0.0
Fort Simpson,,61.861,61.8609,-121.353,-121.3527,0.0
Fort Smith,,60.005,60.0053,-111.883,-111.8829,0.0
Gahcho Kue Mine,,63.505,63.5047,-109.046,-109.0461,0.0
Gameti,Gamètì,64.113,64.1129,-117.353,-117.3525,0.0
Hay River,,60.81,60.8097,-115.79,-115.7898,0.0
Hay River Reserve,,60.51,60.7939,-115.44,-115.704,34.8
Husky Slater River Base Camp,,65.008,65.0077,-126.436,-126.4355,0.0
Inuvik,,68.361,68.361,-122.73,-133.73,452.3
Jean Marie River,,61.525,61.525,-120.628,-120.6278,0.0
Kakisa,,60.941,60.9407,-117.416,-117.4159,0.0
Lutselk'e,Łutselkʼe,62.404,62.4041,-110.738,-110.7382,0.0
N'Dilo,Ndilǫ,62.474,62.4736,-114.336,-114.3361,0.0
NICO Mine,,63.55,63.55,-116.746,-116.7458,0.0
Nahanni Butte,,61.036,61.0356,-123.383,-123.3832,0.0
Nechalacho,Nechalacho/Thor Lake,62.099,62.0989,-112.594,-112.5936,0.0
Norman Wells,,65.281,65.2811,-126.832,-126.8316,0.0
Paulatuk,,69.35,69.3503,-123.893,-124.06,6.6
Pine Point Mine (Tamerlane),Pine Point Mine,60.833,60.8335,-114.468,-114.4679,0.1
Prairie Creek Mine,,61.55,61.55,-124.8,-124.8,0.0
Sachs Harbour,,71.987,71.9867,-125.084,-125.2505,5.7
Snap Lake Mine,,63.575,63.6056,-110.867,-110.8667,3.4
Trout Lake,Sambaa K’e,60.443,60.4426,-121.242,-121.2424,0.0
Tsiigehtchic,,67.442,67.4424,-133.742,-133.7424,0.0
Tuktoyaktuk,,69.451,69.4509,-133.036,-133.0358,0.0
Tulita,,64.901,64.9006,-125.576,-125.5763,0.0
Ulukhaktok,,70.737,70.7366,-117.772,-117.772,0.0
Wekweeti,Wekweètì,64.189,64.1892,-114.186,-114.1861,0.0
Whati,Whatì,63.145,63.1449,-117.274,-117.2743,0.0
Wrigley,,63.227,63.2268,-123.467,-123.4667,0.0
Yellowknife,,62.454,62.4536,-114.37,-114.37,0.0
